Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	931	624	4.670769727	6010	2	25	6148	3	20	6195	-1.597743315	6355	-1.9725978	6454	0.941176471	6476	40.91202665	964	58	6000	21.59	2	18.01	260	3.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	796	485	34.43751682	1260	19	150	1774	21	100	1248	1.164586702	579	0.944637755	1003	21.1827957	2081	14.15877555	3570	377	2537	117.1	13	0	98	8.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	800	457	4.813608676	5980	3	20	6068	5	25	5539	-1.416642472	6232	-1.504861873	6248	4.294478528	6029	30.83776582	1549	84	5644	34.97	2	20	241	4.1
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	851	529	25.31088216	2052	15	125	2558	15	80	2224	0.906245988	984	0.744565317	1420	21.05263158	2105	10.16367455	4282	258	3521	136.18	19	0	127	7.1
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1050	653	4.553448389	6042	1	10	6464	0	5	6499	-2.454155936	6502	-2.261268831	6496	3.773584906	6138	48.61098522	678	0	6466	19.07	1	25	263	2.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	479	277	21.9137012	2448	16	75	2296	15	40	2327	0.199758897	2669	0.221163551	2655	28	1267.5	13.65581169	3652	467	1972	109.46	0	0	155	7.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	983	553	4.018579337	6174	3	25	6069	3	15	6245	-0.724674056	5135	-1.589231394	6292	4.041570439	6086	25.45419554	2027	50	6103	26.4	2	20.18	240	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	959	554	21.07227997	2591	13	125	2883	12	65	3089	0.717702624	1360	0.494688117	2020	18.73278237	2552	13.60989323	3662	381	2510	118.42	9	5.33	130	7.4
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	682	381	30.87598356	1519	20	135	1611	17	70	1860	1.10446615	665	0.624635618	1680	24.49748744	1643	4.302333696	5517	708	1002	121.87	7	0	167	8.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1247	833	3.791560996	6224	1	15	6421	1	5	6496	-1.515671798	6298	-1.282922416	6030	2.378378378	6343	33.88293578	1353	96	5504	50.37	2	18.26	241	4.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	1032	660	18.63034754	2969	10	100	3717	9	65	3691	0.109077385	2905	0.86554044	1156	16.94747275	2972	15.63291295	3316	641	1233	111.68	12	7.83	124	12
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	673	435	30.19355136	1585	16	110	2245	15	70	2211	0.786864018	1217	1.21410035	552	18.23361823	2670	24.14502355	2172	465	1986	149.06	10	0	135	12.5
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	702	428	22.44070783	2382	12	85	3059	12	50	2934	0.435242602	2035	0.453593415	2112	21.33152174	2047	17.91007463	2958	1234	279	100.78	10	0	155	8.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	771	502	16.76179699	3264	10	80	3554	10	50	3414	0.272319958	2465	0.299681906	2461	19.67213115	2361	12.07475875	3931	440	2131	99.24	6	6.51	156	8.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	870	566	21.41942163	2536	11	95	3315	11	65	3155	0.581754022	1678	0.456471085	2103	23.77919321	1708	37.25507478	1154	267	3429	117.24	5	6.05	142	8.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	871	525	19.0535222	2909	10	90	3490	13	65	2849	0.54282039	1758	0.465376408	2086	21.34020619	2045	2.584181806	5930	529	1688	121.98	8	0	144	7.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	763	425	13.58222801	3925	9	70	3834	10	45	3627	0.22654733	2592	-0.155883234	3588	6.529625151	5624	12.32588499	3883	239	3712	83.38	9	6.25	205	6.9
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	788	555	22.00841843	2431	11	85	3436	14	75	2465	0.779088621	1234	0.771270675	1360	16.20253165	3161	5.46878826	5270	366	2612	125.66	6	0	159	12.3
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	770	520	14.97967742	3619	12	95	3098	7	35	4628	0.46777928	1958	-0.211392723	3750	18.27956989	2651	6.156477953	5143	600	1379	79.76	9	6.38	198	6.2
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	838	509	33.06997441	1350	21	180	1407	16	85	2031	1.251469909	486	0.802256909	1284	25.05285412	1582	9.586278557	4401	626	1281	138.4	13	6	152	10.7
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	575	339	4.368304244	6084	2	10	6347	2	5	6436	-0.884736648	5471	-1.369853532	6115	4.819277108	5936	34.10971754	1343	94	5518	43.03	4	11.83	241	3.6
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	746	404	4.084370382	6159	1	10	6402	1	5	6454	-0.893638609	5492	-1.882444214	6436	1.703800786	6414	32.89819077	1420	132	5019	32.09	6	23.23	244	2.8
Aberdeen City	0	0	0	0	0	0	0	0	0	0	0	749	515	15.49736851	3501	11	80	3430	9	50	3768	0.147149113	2808	0.216353947	2667	29.56058589	1152	10.78673243	4177	312	3054	77.89	17	5.38	121	5.2
