Local Authority Name	Electorate	Number of Votes	Yes	No	Rejected Papers 	Estimated population (2013)	Estimated Males (2013)	Estimated Females (2013)	Area (square km)	Population density	Council expenditure per capita (£)	Total Population SAPE 2010	Best-fit Working Age Population	Overall SIMD 2012 Score	Overall SIMD 2012 Rank	Income domain 2012 rate	Number of Income Deprived People 2012	Income domain 2012 rank	Employment domain 2012 rate	Number of Employment Deprived People 2012	Employment domain 2012 rank	Health domain 2012 score	Health domain 2012 rank	Education Skills and Training domain 2012 score	Education Skills and Training domain 2012 rank	Housing domain score	Housing domain rank	Geographic Access domain 2012 score	Geographic Access domain 2012 rank	SIMD Crime 2012 score	SIMD Crime 2012 rank	Working age people with no qualifications	People aged 16-19 not in full time education	Proportion of 17-21 year olds entering higher education 	Pupil Performance on SQA at Stage 4	School Pupil Absences 
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1045	741	5.422082987	5833	2	20	6350	4	25	5894	-0.559912695	4741	0.0004955	3180	3.798767967	6133	9.249681023	4483	224	3867	103.47	7	0	185	5.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	807	496	10.86448343	4523	6	45	4970	3	20	6028	-0.815433328	5346	-0.271204604	3929	12.7694859	4123	63.62952717	336	210	4015	82.69	6.25	9.09	179	5.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	761	498	12.65201331	4103	8	60	4191	9	45	3742	-0.280100176	3984	0.155497701	2811	9.56937799	4995	16.04681273	3245	237	3731	127.92	7	0	106	5.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	645	406	19.54116333	2829	11	70	3383	12	50	3018	-0.312923724	4084	1.116559256	691	11.81208054	4386	9.225644258	4488	439	2136	133.5	14	0	175	9.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	620	399	14.65873819	3696	7	45	4399	6	25	5004	-0.826016509	5357	-0.108402262	3462	20.67901235	2158	80.44684173	111	0	5857	93.97	5	7.19	144	6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	771	483	14.88543144	3644	9	75	3745	8	40	4125	-0.500407543	4592	0.646858173	1625	16.34723788	3124	17.89174519	2961	398	2399	149.2	7	0	183	6.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	677	447	13.25852865	3987	7	45	4546	8	35	4290	-0.912811076	5525	-0.376491154	4209	13.1294964	4032	65.0316622	309	165	4589	73.13	10	16.98	167	5.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	685	408	11.80991362	4302	7	50	4434	8	35	4038	-0.5208333	4638	0.178646939	2749	9.523809524	5006	21.99719582	2432	182	4356	117.51	5	5.19	145	6.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	761	439	20.38191079	2690	14	110	2620	14	60	2492	-0.075422878	3436	0.637562456	1654	14.38434983	3641	3.384127147	5725	610	1339	134.87	16	0	159	7.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	824	493	22.00906571	2429	17	140	2064	15	70	2375	0.208313108	2635	0.358376549	2308	17.29323308	2886	12.13715326	3922	338	2847	135.1	7	6.49	200	6.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	689	417	6.768015174	5481	6	45	4736	6	25	4800	-0.807252948	5330	-0.624973182	4872	9.92481203	4899	12.20074572	3910	0	5910	76.69	2	7.56	188	4.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1823	1192	14.22049621	3796	9	160	3955	7	75	4688	-0.703540202	5087	-0.201346736	3718	10.12987013	4840	58.24390987	456	399	2392	97.14	4	7.39	125	5.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	886	505	32.46212916	1396	18	160	1917	19	95	1558	0.47304171	1949	1.192943741	585	26.84824903	1382	15.82096473	3279	905	601	145.84	23	0	144	8.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	932	548	23.94121386	2210	15	145	2392	17	90	1976	0.350542976	2270	0.550370376	1886	11.0880829	4586	6.762322868	5013	777	842	124.74	18	0	175	6.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	808	530	18.07167191	3065	12	100	3028	14	75	2527	-0.789301889	5292	0.170374404	2777	12.65508685	4155	2.334473393	5988	1376	213	97.44	8	5.19	204	7.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1010	625	4.991755918	5942	3	35	5788	4	20	5925	-0.892899771	5490	-0.580487761	4735	3.888888889	6113	21.00044773	2553	93	5534	80.16	1	5.2	107	4.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1061	750	48.06327762	569	25	265	945	27	200	607	0.950921577	914	1.55603456	226	26.12293144	1460	2.656108705	5907	3331	17	156.85	27	0	175	11
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	597	280	15.79277571	3451	13	80	2816	10	25	3630	-0.281999677	3993	-0.222923981	3780	13.8836773	3803	5.613874436	5238	1008	462	86.68	4	6.98	119	5.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	603	350	23.24119123	2281	16	95	2279	14	50	2443	0.125100982	2861	0.833246158	1233	15.78947368	3269	21.02267557	2551	190	4264	129.85	9	0	122	8.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	910	534	39.92493601	925	24	220	1052	24	130	862	0.148783638	2801	1.422793081	322	17.49136939	2829	13.96937562	3603	1024	447	159.66	18	0	208	10.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	509	345	5.126832891	5903	2	10	6191	3	15	6100	-1.444655577	6257	-0.135534561	3545	8.133086876	5309	19.80005416	2697	190	4261	99.58	4	0	103	6.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	581	371	39.60042558	940	21	120	1454	22	85	1083	0.559495049	1733	1.564127636	218	21.05263158	2101.5	17.71990891	2993	1035	433	181.82	24	0	116	9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	843	548	27.06837876	1864	17	145	2002	13	70	2838	0.439720468	2020	1.077328719	749	25.1572327	1566	20.77035265	2575	551	1594	159.72	6	0	200	8.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	651	387	13.02516213	4042	8	50	4210	9	35	3792	-0.093356599	3471	0.143782704	2843	11.39455782	4515	17.03155384	3087	217	3934	116.44	7	0	122	7.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	520	330	27.20384714	1850	17	90	2076	17	55	1914	-0.171886056	3671	1.131528325	666	17.66784452	2791	22.66371277	2343	383	2495	153.41	7	0	196	10.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	822	489	8.917029559	4976	6	50	4799	7	35	4456	-0.895760405	5494	-0.230695827	3802	4.53038674	5986	22.81159219	2328	111	5306	107.5	4	6.34	193	5.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	571	370	5.803803096	5720	1	10	6413	3	10	6165	-1.747912621	6414	-0.5714203	4707	1.703577513	6415	46.03686552	752	0	6400.5	72.68	4	8.11	194	4.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	667	386	9.076952854	4937	7	50	4421	9	35	3965	-0.601900476	4850	-0.553954604	4675	8.412698413	5262	12.42285841	3865	151	4757	89.95	2	7.78	199	4.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	474	255	7.563468886	5287	5	25	5153	6	15	4786	-0.511253875	4615	-0.725158527	5119	4.927007299	5906	23.88724611	2211	0	6178	70.53	3.125	14.89	192	4.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	875	541	9.710443325	4802	7	65	4382	7	35	4650	-0.859336061	5425	-0.208001832	3735	6.849315069	5548	20.0530482	2675	317	3017	94.08	4	6.99	142	6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	626	392	21.67243919	2491	18	110	1898	12	45	3041	-0.080575954	3447	0.747993656	1409	25.62962963	1520	9.102757621	4506	341	2819	140.43	12	0	183	9.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	604	312	12.55172104	4133	10	60	3636	11	30	3350	-0.644660836	4959	-0.005057851	3192	8.534621578	5229	12.37964159	3871	167	4554	117.34	7	6.78	199	5.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	597	388	15.16872134	3579	6	35	4931	7	25	4354	-0.77173485	5255	-0.340426724	4120	17.18146718	2909	80.29561183	113	393	2421	85.13	4	11.34	148	6.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	548	349	17.28897721	3182	6	35	4677	8	30	4056	-0.23920162	3851	0.187736872	2733	11.26760563	4550	66.26747785	285	587	1448	88.44	8	8.89	175	7.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	812	477	12.07935177	4239	9	75	3890	6	30	4865	0.223944262	2596	-0.140471169	3558	8.959156785	5140	1.841935056	6099	666	1143	88.41	8	11.7	197	6.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	742	484	11.86427832	4287	7	50	4611	7	35	4519	-0.703780896	5088	-0.350098713	4149	12.54953765	4186	53.08109264	566	88	5596	95.82	1	7.84	202	5.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	979	584	10.16808183	4700	4	40	5603	3	20	6135	-0.63155581	4919	-0.456718822	4430	10.48387097	4755	71.73100978	196	0	6160	79.37	2	6.88	170	5.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1034	609	15.19752572	3573	10	105	3551	9	55	3858	0.335326315	2309	0.294477478	2472	15.5473781	3337	6.540087286	5065	338	2842	130.07	3	0	171	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	912	584	13.49960132	3941	7	65	4474	5	30	5361	-0.958744547	5620	-0.062561225	3344	17.55986317	2810	70.56123681	215	211	4008	104.8	0.78125	5.26	150	6.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1003	528	9.831963774	4779	8	80	4226	9	45	3979	-0.417007379	4359	0.030029829	3112	9.099804305	5106	3.262514253	5756	0	6371	109.99	4	6.47	162	5.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	614	355	15.26253459	3553	11	70	3329	10	35	3553	0.211722891	2627	0.350257408	2336	10.03039514	4866	5.322465588	5304	216	3952	118.73	5	0	205	7.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	570	355	9.36956608	4882	6	30	4957	5	20	5459	-1.275968539	6096	-0.591018831	4772	15.10791367	3452	56.5867346	495	0	6392	101.91	2	11.36	186	5.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	943	517	7.157828547	5393	4	40	5446	4	25	5691	-0.232144379	3826	-0.464416733	4451	3.475336323	6179	19.06203868	2795	213	3977	72.34	5	6.29	159	4.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	846	511	20.51320023	2667	10	85	3662	12	60	3090	-0.009516945	3256	0.426542707	2158	12.29698376	4259	41.50845026	945	860	681	114.33	7	6.02	159	9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	831	508	16.05266908	3392	9	70	4020	10	50	3629	-0.392720808	4296	-0.040672553	3280	11.62790698	4443.5	61.44600313	384	92	5544	83.7	7	10.83	188	6.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	607	409	12.38646814	4164	5	30	5311	6	25	4759	-0.868300559	5445	-0.364673745	4176	9.841827768	4922	67.10536172	266	341	2818	89.63	4	12.04	182	5.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	887	566	12.45198812	4154	6	55	4798	8	45	4223	-0.591673115	4819	-0.299407855	4002	8.256880734	5289.5	52.71081482	573	173	4473	90.98	2	5.63	153	5.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	717	421	15.16300669	3581	9	70	3739	6	30	4827	-0.66683336	5012	0.341553585	2358	19.35483871	2420	51.59574199	594	223	3873	110.8	13	8.47	169	7.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	901	512	13.2735737	3985	9	80	3854	10	55	3416	0.047981076	3084	0.081280528	3005	14.26940639	3677	2.756963452	5877	235	3762	106.08	8	5.26	223	5.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	571	368	10.33887145	4659	5	25	5333	6	20	4905	-0.714399478	5115	-0.745324763	5158	16.80672269	3006	61.07598227	397	0	6400.5	83.29	1	7.76	179	4.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1122	642	14.56334838	3718	7	80	4441	8	55	4069	-0.926909038	5551	-0.177780487	3640	11.74089069	4404	64.72639798	314	308	3086	101.27	3	9.09	136	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	901	532	22.82028784	2330	14	130	2638	14	75	2444	0.393648687	2161	0.666235382	1579	15.96548004	3220	22.80824431	2329	246	3632	136.08	5	0	170	6.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	640	397	15.27956634	3550	6	40	4795	6	25	5105	-0.422964915	4381	0.319675774	2419	16.50326797	3094	77.17518664	134	0	6255	98.27	11	0	162	6.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	817	474	21.38366209	2543	16	130	2305	14	65	2538	-0.512665008	4620	0.685972693	1542	14.02359109	3748	20.80603367	2574	420	2248	147.98	5	0	186	7.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	659	407	16.33639304	3339	9	60	3804	8	35	4196	-0.344825456	4174	-0.125197061	3508	20.0927357	2273	66.60432887	275	135	4977	118.36	3	6.38	178	5.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1032	593	14.57800426	3716	6	65	4644	8	45	4232	-0.837835377	5383	-0.231669861	3805	18.32460733	2635.5	72.80989449	182	155	4714	92.39	5	15.94	159	6.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1005	657	14.54415666	3722	6	55	4936	6	40	4745	-0.344657172	4173	0.010785758	3155	12.64737406	4158	69.8815922	224	213	3988	93.94	5	9.76	222	7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	627	401	10.64461587	4578	4	25	5701	7	30	4350	-0.865466549	5439	-0.585004522	4756	14.65076661	3567	60.49103213	409	0	6206	90.4	4	11.11	188	5.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	910	501	13.49972569	3940	8	75	4124	8	40	4023	-1.521415373	6302	-0.414473302	4320	12.9076087	4085.5	63.81360933	330	110	5316	112.59	0	14.84	173	6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	695	418	20.91360444	2617	11	80	3264	10	45	3504	-0.231237512	3821	-0.063157344	3345	12.86307054	4098	77.11932975	136	567	1548	95.76	8	15.73	159	7.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	540	327	13.37720721	3963	6	30	4857	7	20	4513	-1.029553253	5736	-0.238363182	3832	16.77148847	3023	66.97782398	269	268	3426	95.1	3	6.85	151	4.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	562	376	20.26256001	2702	10	55	3579	12	45	3050	-0.476835756	4521	0.17439186	2765	12.23709369	4273	81.97516251	92	81	5682	102.67	2	0	177	6.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	811	460	18.89831979	2924	11	90	3273	15	70	2383	0.306365381	2384	-0.041507894	3284	7.068062827	5510	13.01896382	3757	594	1404	103.45	8	9.87	183	6.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	693	421	17.65175704	3132	11	75	3353	12	50	3004	0.136980678	2824	-0.230204379	3799	17.36842105	2866	38.1798002	1099	138	4920	115.3	1	9.49	149	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	711	373	21.35071146	2545	13	90	2904	14	50	2534	0.127544644	2854	0.938313357	1015	13.16113161	4021	9.188394889	4493	350	2745	145.87	22	0	188	7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	986	558	14.41070325	3749	11	105	3470	12	65	3060	-0.11045307	3522	0.049378583	3072	7.715736041	5382	7.080519282	4934	262	3481	135.14	8	5.77	194	5.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	510	308	13.30925614	3973	7	35	4530	6	20	4708	-0.29284516	4024	-0.132097766	3535	9.633911368	4977	56.25646385	500	158	4679	89.59	7	0	197	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	935	556	13.98735993	3843	7	70	4394	8	45	4118	-0.321418037	4108	-0.533088447	4624	13.59570662	3895	62.78846034	354	106	5363	109.65	3	12.31	150	4.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	730	430	14.78341148	3665	14	100	2743	10	45	3456	-0.310926541	4079	0.148390884	2830	11.38107417	4522	10.03626578	4309	108	5354	115.65	6	6.02	167	5.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	873	503	24.76578111	2119	16	140	2220	21	105	1340	-0.283134653	3995	0.154879454	2813	11.93124368	4349	5.466215293	5271	1233	280	92.28	27	9.38	158	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	730	476	17.96603778	3082	14	100	2691	12	60	2883	-0.015816253	3270	0.249838252	2582	8.673469388	5196	5.715945818	5220	571	1530	122.24	9	9.03	172	7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	548	358	17.65886637	3130	13	75	2836	12	45	2904	0.321813607	2346	0.085466066	2995	7.495429616	5428	4.160655933	5550	440	2129	96.32	3	6.09	153	7.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	651	387	15.51205373	3498	13	85	2914	9	35	3793	0.109871939	2903	0.309424329	2438	17.11309524	2929	2.69867922	5897	302	3138	138.44	6	5.63	209	6.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	831	519	12.17281635	4214	9	70	3991	8	40	4334	-0.267978863	3947	-0.392988325	4254	4.914004914	5912	33.54508863	1379	170	4511	122.98	2.34375	9.49	167	4.8
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	645	393	16.94255024	3229	15	100	2428	9	35	3839	-0.282465109	3994	-0.087935054	3405	10.91405184	4635	31.12029771	1531	271	3396	104.29	3	8.27	180	6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	704	445	18.80040034	2937	16	110	2339	16	70	2101	-0.308826098	4070	0.16573659	2786	11.15760112	4574	3.002426325	5826	260	3498	108.55	12	0	184	6.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	834	478	19.81330415	2770	13	110	2879	14	70	2466	0.030154734	3138	0.27040742	2537	9.104477612	5103	25.20740844	2062	310	3072	144.77	14	5.97	179	6.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	525	302	15.03235337	3610	9	45	3904	10	30	3637	-0.232994397	3831	0.050983168	3066	13.97058824	3768	34.83848687	1291	218	3919	124.99	4	0	177	5.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1101	620	15.61539636	3480	10	115	3546	10	65	3379	-0.199645504	3737	0.012178194	3151	7.114624506	5502	33.08349458	1406	175	4440	114.45	4	5.78	239	6.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1179	751	8.353484925	5110	5	60	5202	6	45	4900	-0.748690396	5193	-0.858490144	5406	1.298701299	6455	36.28729386	1210	184	4339	96.39	1	6.67	226	4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	481	299	3.560881375	6263	2	10	6206	3	10	6052	-1.631476096	6372	-0.787415433	5262	1.615798923	6426	20.73913132	2580	0	5546	75.6	8	10.08	191	4.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	797	440	13.67693961	3901	10	85	3499	8	35	4161	0.205109494	2649	-0.129706326	3524	11.63084703	4442	14.20362114	3557	275	3360	93.32	3	0	221	5.6
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	521	307	6.666763782	5519	2	10	6309	6	20	4824	-1.097153869	5837	-0.662306469	4974	3.429602888	6189	24.01259168	2190	407	2336	89.56	3	11.34	189	4.7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	884	529	8.268892708	5137	7	60	4623	8	40	4310	-0.827394162	5360	-0.293555256	3987	8.438818565	5254	7.443107322	4852	238	3724	97.12	0	5.43	165	5.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	727	485	23.38461707	2273	19	135	1730	16	80	1995	-0.325655749	4123	0.460965327	2096	23.13527181	1783	15.52400354	3331	260	3499	152.38	3	0	155	6.5
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	893	501	17.67389579	3123	12	105	3156	12	60	3026	-0.162810375	3650	0.561198365	1858	13.47926267	3928	17.83775755	2972	254	3551	135.68	6	0	126	7.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	810	550	24.88203223	2107	17	140	2053	14	75	2520	0.358494184	2240	0.759171233	1388	19.88636364	2318	25.2623571	2055	252	3578	143.4	9	0	180	7
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	831	508	13.91212405	3860	11	90	3392	10	50	3559	0.043291264	3096	0.113631746	2922	19.09090909	2476	3.204819156	5778	173	4470	119.09	4	0	224	6.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	528	275	9.475967833	4856	7	35	4539	7	20	4415	-0.016504123	3273	-0.848792459	5388	4.6875	5966	3.952777424	5602	572	1527	61.57	9.375	17.57	199	5.1
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	643	350	20.59351948	2660	15	95	2516	17	60	1981	0.113358548	2895	-0.218360247	3769	19.38931298	2413	6.884792139	4987	644	1225	124.04	8	12.86	123	5.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	982	634	27.94642761	1775	17	165	2095	17	110	1853	0.471600469	1951	0.935029778	1022	15.81975072	3258	15.09807731	3399	614	1326	150.65	12.5	0	187	8.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	1043	638	18.12730654	3055	15	150	2556	12	80	2990	0.590746513	1663	-0.269156234	3925	11.50870406	4487	1.921532345	6082	405	2351	99.67	4	5.65	134	4.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	996	561	28.23497641	1745	19	195	1658	18	100	1794	0.62546493	1579	0.666373763	1578	19.29460581	2431	6.978253527	4962	597	1394	140.99	8.75	0	152	7.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	861	587	40.31769948	901	20	170	1577	24	140	875	1.102961933	668	1.087031615	735	21.25	2064	2.448729624	5954	2791	33	140.12	34	0	103	10
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	997	661	47.00625737	620	29	285	605	25	165	773	0.943563727	928	1.528583921	238	15.6284153	3321	4.038537329	5584	1048	416	173.82	13	0	188	10.9
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	716	428	22.00880756	2430	15	110	2386	13	55	2733	0.038294573	3116	-0.108473557	3463	19.04090268	2490	45.56217365	766	430	2188	113.59	5	0	145	5.4
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	689	383	23.93827368	2211	15	105	2412	14	55	2425	-0.001597352	3224	0.694593586	1526	14.28571429	3670	14.0726153	3583	1178	310	128.76	9	0	134	8.2
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	738	441	26.89805041	1883	15	110	2456	20	85	1485	-0.018236461	3279	0.782083584	1328	20.41612484	2215	26.34079305	1937	512	1767	163.21	12.5	0	169	6.3
Aberdeenshire	0	0	0	0	0	0	0	0	0	0	0	537	319	15.27942958	3551	11	55	3453	7	25	4438	-0.613005042	4880	-0.08859173	3409	12.17712177	4289	45.97901738	757	505	1798	109.97	6	6.25	205	4.9
Angus	93656	80302	35044	45192	66	116240	56574	59666	2182	53	2243	724	383	8.504058531	5065	7	50	4469	7	25	4698	-0.172121507	3673	-0.894000446	5488	11.85983827	4366	10.66300564	4199	239	3708	60.98	9	23.3	183	4.5
Angus	0	0	0	0	0	0	0	0	0	0	0	857	444	11.83333959	4296	9	80	3777	9	40	3882	-0.430849772	4404	-0.380630326	4220	12.24707135	4269	20.41028589	2624	191	4256	48.88	12	6.82	190	5.5
Angus	0	0	0	0	0	0	0	0	0	0	0	687	340	17.65794865	3131	14	95	2784	12	45	2889	0.492854001	1902	-0.409645752	4308	21.42857143	2030.5	1.15712539	6250	489	1864	63.14	4	8.33	201	6.1
Angus	0	0	0	0	0	0	0	0	0	0	0	726	414	6.444078036	5570	5	35	5336	6	25	4783	-0.531740889	4670	-0.825993317	5334	8.75	5179	15.05536727	3405	73	5792	58.5	5	8.96	219	3.9
Angus	0	0	0	0	0	0	0	0	0	0	0	577	378	4.390230098	6074	3	15	6064	4	20	5701	-1.118270592	5868	-1.031550144	5723	1.166666667	6467	25.20852397	2061	0	6264	57.47	3	15.23	232	4.4
Angus	0	0	0	0	0	0	0	0	0	0	0	724	303	3.826018428	6213	4	25	5733	5	15	5369	-0.509050521	4608	-1.462283587	6219	3.562340967	6167	4.385413633	5497	99	5466	38.17	0	33.9	195	5.4
Angus	0	0	0	0	0	0	0	0	0	0	0	643	338	7.042174046	5419	7	45	4482	5	20	5189	-0.341126994	4163	-0.780647466	5244	14.06959153	3732	9.493698668	4422	0	5924	54.77	2	10.99	205	4.8
Angus	0	0	0	0	0	0	0	0	0	0	0	588	336	6.048419183	5661	3	15	6076	7	25	4582	-0.494130433	4575	-0.945621269	5576	7.033639144	5519	18.93247284	2806	0	6486.5	59.18	0	12.04	196	4.7
Angus	0	0	0	0	0	0	0	0	0	0	0	531	294	9.589538872	4823	8	45	4074	7	20	4464	-0.141909151	3608	-0.698023266	5059	7.950530035	5341	16.22888652	3212	0	6235	32.95	11	11.67	207	5.9
Angus	0	0	0	0	0	0	0	0	0	0	0	627	354	6.749767289	5492	6	35	4866	6	20	5048	-0.31726811	4095	-1.012513232	5697	6.090651558	5687	14.98010663	3415	0	6298	57.35	2	14.29	203	4.2
Angus	0	0	0	0	0	0	0	0	0	0	0	834	505	5.028764969	5931	4	30	5622	4	20	5653	-0.616005066	4884	-0.901754334	5503	6.695778748	5580	18.40250455	2884	0	6245	54.52	4	15.13	226	4.6
Angus	0	0	0	0	0	0	0	0	0	0	0	929	589	5.609571248	5780	2	20	6305	3	15	6242	-1.442048728	6251	-1.323622808	6068	3.671071953	6155	52.42212513	580	0	6375	36.73	1	15.58	205	4.4
Angus	0	0	0	0	0	0	0	0	0	0	0	679	410	5.268567971	5874	4	25	5758	4	15	5838	-0.178225498	3688	-0.860314627	5410	4.95049505	5901.5	14.90333782	3425	0	6098	54.98	3	15.6	175	4.9
Angus	0	0	0	0	0	0	0	0	0	0	0	686	420	14.66786174	3693	11	80	3263	10	40	3583	-0.293727003	4026	-0.113285693	3476	14.14835165	3709	27.73898987	1795	90	5571	95.84	8	6.08	181	5.2
Angus	0	0	0	0	0	0	0	0	0	0	0	937	597	9.047464981	4949	6	60	4672	6	35	4820	-0.613984949	4883	-0.336966728	4109	10.42216359	4769	25.06882547	2075	110	5323	87.78	5	10.53	178	5.2
Angus	0	0	0	0	0	0	0	0	0	0	0	742	431	20.96836021	2604	16	120	2248	16	70	2042	-0.001096538	3223	0.145973286	2840	20.99871959	2112	5.47438527	5267	429	2196	126.02	2	0	147	6.7
Angus	0	0	0	0	0	0	0	0	0	0	0	1092	613	15.67493412	3464	10	110	3547	11	65	3249	0.107474721	2910	0.16154841	2796	14.39153439	3638	9.797044308	4362	411	2311	77.29	9.375	5.24	191	6.9
Angus	0	0	0	0	0	0	0	0	0	0	0	689	429	13.07691975	4030	11	75	3408	9	35	3863	-0.178958996	3692	-0.397952847	4269	11.35483871	4529	24.21102598	2169	89	5589	74.42	5	7.94	133	5.3
Angus	0	0	0	0	0	0	0	0	0	0	0	739	431	17.06581288	3213	11	85	3265	13	60	2700	0.066548092	3021	0.386801345	2247	14.02116402	3749	5.888587377	5190	253	3569	102.72	7	5.73	211	7.4
